Week 1,08/28/13
(no class),09/04/13
Week 2,09/11/13
Week 3,09/18/13
Week 4,09/25/13
Week 5,10/02/13
Week 6,10/09/13
Week 7,10/16/13
Week 8,10/23/13
Week 9,10/30/13
Week 10,11/06/13
Week 11,11/13/13
Week 12,11/20/13
(no class),11/27/13
Week 13,12/04/13
Week 14,12/11/13
Week 15,12/18/13
