Alabama,75
Alaska,39
Arizona,69
Arkansas,93
California,390
Colorado,92
Connecticut,37
Delaware,10
District of Columbia,9
Florida,226
Georgia,111
Hawaii,26
Idaho,37
Illinois,177
Indiana,125
Iowa,93
Kansas,78
Kentucky,93
Louisiana,111
Maine,26
Maryland,71
Massachusetts,68
Michigan,141
Minnesota,60
Mississippi,63
Missouri,132
Montana,49
Nebraska,39
Nevada,38
New Hampshire,9
New Jersey,99
New Mexico,52
New York (including New York City),206
New York City,72
North Carolina,148
North Dakota,44
Ohio,155
Oklahoma,86
Oregon,58
Pennsylvania,186
Rhode Island,7
South Carolina,81
South Dakota,31
Tennessee,120
Texas,433
Utah,39
Vermont,8
Virginia,127
Washington,60
West Virginia,43
Wisconsin,89
Wyoming,32
