Date,Name,Rank,Age,Cause,Place of Death,Country of Death,Branch of Service,City,State
12/8/2003,"Blickenstaff, Joseph M.",Specialist,23,Non-hostile - vehicle accident,Balad (9 km Northeast of),Iraq,U.S. Army,Corvallis,Oregon
12/8/2003,"Bridges, Steven H.",Staff Sergeant,33,Non-hostile - vehicle accident,Balad (9 km Northeast of),Iraq,U.S. Army,Tracy,California
12/8/2003,"Wright, Jason G.",Private 1st Class,19,Hostile - hostile fire - small arms fire,Mosul,Iraq,U.S. Army,Luzerne,Michigan
12/7/2003,"Hutchinson, Ray J.",Private 1st Class,20,Hostile - hostile fire - IED attack,Mosul (near),Iraq,U.S. Army,League City,Texas
12/5/2003,"Clark, Arron R.",Specialist,20,Hostile - hostile fire - IED attack,Baghdad (eastern part),Iraq,U.S. Army,Chico,California
12/2/2003,"Boone, Clarence E.",Chief Warrant Officer,50,Non-hostile - accident (?),Kuwait City,Kuwait,U.S. Army,Fort Worth,Texas
12/2/2003,"Young, Ryan C.",Sergeant,21,Hostile - hostile fire - IED attack,Walter Reed Medical Ctr.,USA,U.S. Army,Corona,California
12/2/2003,"Davis, Raphael S.",Specialist,24,Hostile - hostile fire - IED attack,Samarra (South of),Iraq,U.S. Army National Guard,Tutwiler,Mississippi
12/1/2003,"Singh, Uday",Sergeant,21,Hostile - hostile fire - ambush,Habbaniyah (near),Iraq,U.S. Army,Lake Forest,Illinois
11/29/2003,"Bertolino, Stephen A.",Staff Sergeant,40,Hostile - hostile fire - ambush,Haditha,Iraq,U.S. Army,Orange,California
11/29/2003,"Sissel, Aaron J.",Specialist,22,Hostile - hostile fire - ambush,Haditha,Iraq,U.S. Army National Guard,Tipton,Iowa
11/28/2003,"Rico, Ariel",Sergeant,25,Hostile - hostile fire - mortar attack,Mosul,Iraq,U.S. Army,El Paso,Texas
11/27/2003,"Sweet II, Thomas J.",Sergeant,23,Non-hostile - weapon discharge (suicide),Camp Junction City (Ar Ramadi),Iraq,U.S. Army,Bismarck,North Dakota
11/26/2003,"Goldberg, David J.",Sergeant,20,Non-hostile - weapon discharge (accid.),Qayyarah,Iraq,U.S. Army Reserve,Layton,Utah
11/23/2003,"Nason, Christopher G.",Chief Warrant Officer (CW2),39,Non-hostile - vehicle accident,Btwn. Mosul & Dihok,Iraq,U.S. Army,Los Angeles area,California
11/23/2003,"Smith, Darrell L.",Corporal,28,Non-hostile - vehicle accident (drowning),Iskandariyah (near),Iraq,U.S. Army National Guard,Otwell,Indiana
11/23/2003,"Menyweather, Eddie E.",Staff Sergeant,35,Hostile - hostile fire - IED attack,Ba'qubah (near),Iraq,U.S. Army,Los Angeles,California
11/23/2003,"Ravago IV, Rel A.",Specialist,21,Hostile - hostile fire - small arms fire,Mosul,Iraq,U.S. Army,Glendale,California
11/23/2003,"Wilson, Jerry L.",Command Sergeant Major,45,Hostile - hostile fire - small arms fire,Mosul,Iraq,U.S. Army,Thomson,Georgia
11/22/2003,"Roberts, Robert D.",Corporal,21,Non-hostile - vehicle accident,Baghdad (nr International airport),Iraq,U.S. Army,Winter Park,Florida
11/22/2003,"Bushart, Damian S.",Private 1st Class,22,Non-hostile - vehicle accident,Baghdad (nr International airport),Iraq,U.S. Army,Waterford,Michigan
11/21/2003,"Coleman, Gary B.",Corporal,24,Non-hostile - vehicle accident (drowning),Balad (near),Iraq,U.S. Army,Pikeville,Kentucky
11/20/2003,"Tyrrell, Scott Matthew",Private,21,Non-hostile - ordnance accident,"Brooke Army Med Center, TX",USA,U.S. Army,Sterling,Illinois
11/20/2003,"Wood, George A.",Captain,33,Hostile - hostile fire - IED attack,Al Ghalibiyah (near Ba'qubah),Iraq,U.S. Army,New York,New York
11/20/2003,"Lister, Joseph L.",Specialist,22,Hostile - hostile fire - IED attack,Ramadi,Iraq,U.S. Army,Pleasanton,Kansas
11/17/2003,"Dalley, Nathan S.",Captain,27,Non-hostile - weapon discharge,Baghdad,Iraq,U.S. Army,Kaysville,Utah
11/17/2003,"Shull, James A.",Captain,32,Non-hostile - weapon discharge (accid.),Baghdad,Iraq,U.S. Army,Kirkland,Washington
11/17/2003,"Coulter, Alexander S.",Chief Warrant Officer,35,Hostile - hostile fire - IED attack,Ba'qubah,Iraq,U.S. Army,Bristol,Tennessee
11/17/2003,"Panchot, Dale A.",Staff Sergeant,26,Hostile - hostile fire,Albu Shukur,Iraq,U.S. Army,Northome,Minnesota
11/15/2003,"Whitener, Joey D.",Private 1st Class,19,Hostile - helicopter crash,Mosul,Iraq,U.S. Army,Nebo,North Carolina
11/15/2003,"Piche, Pierre E.",Captain,29,Hostile - helicopter crash,Mosul,Iraq,U.S. Army,Starksboro,Vermont
11/15/2003,"Hafer, Richard W.",Private 1st Class,21,Hostile - helicopter crash,Mosul,Iraq,U.S. Army,Cross Lanes,West Virginia
11/15/2003,"DiGiovanni, Jeremiah J.",Specialist,21,Hostile - helicopter crash,Mosul,Iraq,U.S. Army,Tylertown,Mississippi
11/15/2003,"Heidelberg, Damian L.",Private 1st Class,21,Hostile - helicopter crash,Mosul,Iraq,U.S. Army,Batesville,Mississippi
11/15/2003,"Saboe, Scott A.",Chief Warrant Officer (CW2),33,Hostile - helicopter crash,Mosul,Iraq,U.S. Army,Willow Lake,South Dakota
11/15/2003,"Russell, John W.",Sergeant,26,Hostile - helicopter crash,Mosul,Iraq,U.S. Army,Portland,Texas
11/15/2003,"Bolor, Kelly",Sergeant 1st Class,37,Hostile - helicopter crash,Mosul,Iraq,U.S. Army Reserve,Whittier,California
11/15/2003,"Wolfe, Jeremy L.",2nd Lieutenant,27,Hostile - helicopter crash,Mosul,Iraq,U.S. Army,Menomonie,Wisconsin
11/15/2003,"Sullivan, John R.",Specialist,26,Hostile - helicopter crash,Mosul,Iraq,U.S. Army,Countryside,Illinois
11/15/2003,"Kesterson, Erik C.",Chief Warrant Officer,29,Hostile - helicopter crash,Mosul,Iraq,U.S. Army,Independence,Oregon
11/15/2003,"Hawk Eagle, Sheldon R.",Private 1st Class,21,Hostile - helicopter crash,Mosul,Iraq,U.S. Army,Grand Forks,North Dakota
11/15/2003,"Uhl III, Eugene A.",Specialist,21,Hostile - helicopter crash,Mosul,Iraq,U.S. Army,Amherst,Wisconsin
11/15/2003,"Hansen, Warren S.",Sergeant,36,Hostile - helicopter crash,Mosul,Iraq,U.S. Army,Clintonville,Wisconsin
11/15/2003,"Dusenbery, William D.",Specialist,30,Hostile - helicopter crash,Mosul,Iraq,U.S. Army,Fairview Heights,Illinois
11/15/2003,"Baker, Ryan T.",Specialist,24,Hostile - helicopter crash,Mosul,Iraq,U.S. Army,Brown Mills,New Jersey
11/15/2003,"Acklin II, Michael D.",Sergeant,25,Hostile - helicopter crash,Mosul,Iraq,U.S. Army,Louisville,Kentucky
11/15/2003,"Hayslett, Timothy L.",Sergeant,26,Hostile - hostile fire - IED attack,Baghdad,Iraq,U.S. Army,Newville,Pennsylvania
11/14/2003,"Medina, Irving",Specialist,22,Hostile - hostile fire - IED attack,Baghdad,Iraq,U.S. Army,Middletown,New York
11/13/2003,"Fletcher, Jacob S.",Private 1st Class,28,Hostile - hostile fire - IED attack,Samarra (North of),Iraq,U.S. Army,Bay Shore,New York
11/13/2003,"Minucci II, Joseph",Sergeant,23,Hostile - hostile fire - IED attack,Samarra (North of),Iraq,U.S. Army,Richeyville,Pennsylvania
11/12/2003,"Bailey, Nathan J.",Staff Sergeant,46,Non-hostile - weapon discharge,Camp Arifjan,Kuwait,U.S. Army National Guard,Nashville,Tennessee
